Date,Count
2013-08-07,1
2013-08-08,6
2013-08-09,1
2013-08-13,1
2013-08-14,3
2013-08-15,1
2013-08-19,1
2013-08-22,3
2013-08-23,1
2013-08-26,1
2013-08-29,1
2013-08-30,3
2013-09-02,2
2013-09-04,1
2013-09-05,1
2013-09-06,1
2013-09-07,1
2013-09-09,3
2013-09-10,1
2013-09-11,3
2013-09-12,3
2013-09-13,3
2013-09-16,1
2013-09-17,3
2013-09-20,1
2013-09-23,1
2013-09-25,2
2013-09-30,2
2013-10-02,3
2013-10-03,5
2013-10-04,5
2013-10-08,1
2013-10-09,5
2013-10-10,2
2013-10-11,1
2013-10-16,1
2013-10-17,2
2013-10-19,1
2013-10-21,1
2013-10-22,2
2013-10-23,1
2013-10-24,2
2013-10-25,1
2013-10-28,3
2013-10-30,3
2013-10-31,4
2013-11-04,1
2013-11-06,1
2013-11-08,1
2013-11-11,3
2013-11-13,1
2013-11-14,1
2013-11-15,2
2013-11-18,1
2013-11-19,4
2013-11-20,2
2013-11-22,1
2013-11-26,2
2013-11-27,3
2013-11-29,2
2013-12-02,2
2013-12-03,5
2013-12-04,1
2013-12-06,1
2013-12-10,3
2013-12-11,3
2013-12-12,4
2013-12-13,1
2013-12-16,2
2013-12-17,1
2013-12-18,3
2013-12-19,3
2013-12-23,1
2014-01-02,1
2014-01-03,1
2014-01-06,1
2014-01-07,1
2014-01-08,1
2014-01-09,4
2014-01-13,3
2014-01-14,1
2014-01-16,1
2014-01-17,1
2014-01-20,1
2014-01-21,3
2014-01-22,2
2014-01-23,5
2014-01-27,2
2014-01-28,1
2014-01-29,1
2014-02-04,2
2014-02-06,2
2014-02-07,1
2014-02-10,1
2014-02-11,3
2014-02-12,3
2014-02-13,4
2014-02-14,3
2014-02-18,6
2014-02-19,2
2014-02-20,2
2014-02-21,2
2014-02-24,1
2014-02-25,3
2014-02-26,3
2014-02-27,1
2014-02-28,2
2014-03-03,2
2014-03-04,2
2014-03-05,4
2014-03-06,6
2014-03-07,2
2014-03-10,1
2014-03-11,2
2014-03-12,1
2014-03-13,2
2014-03-14,1
2014-03-17,3
2014-03-19,3
2014-03-20,1
2014-03-21,1
2014-03-24,3
2014-03-25,5
2014-03-26,3
2014-03-27,2
2014-03-28,1
2014-03-31,2
2014-04-01,2
2014-04-02,1
2014-04-03,5
2014-04-04,4
2014-04-07,4
2014-04-08,3
2014-04-09,4
2014-04-10,1
2014-04-11,1
2014-04-14,3
2014-04-15,2
2014-04-16,3
2014-04-17,1
2014-04-18,1
2014-04-21,1
2014-04-22,1
2014-04-23,4
2014-04-24,1
2014-04-25,4
2014-04-28,3
2014-04-29,2
2014-04-30,9
2014-05-02,1
2014-05-05,5
2014-05-07,3
2014-05-08,5
2014-05-09,3
2014-05-12,2
2014-05-14,4
2014-05-15,2
2014-05-16,2
2014-05-19,4
2014-05-20,3
2014-05-21,2
2014-05-22,2
2014-05-23,2
2014-05-26,2
2014-05-27,2
2014-05-28,4
2014-05-29,2
2014-05-30,2
2014-05-31,1
2014-06-03,3
2014-06-04,1
2014-06-05,3
2014-06-06,3
2014-06-09,1
2014-06-10,1
2014-06-11,4
2014-06-12,3
2014-06-13,1
2014-06-16,5
2014-06-17,2
2014-06-18,3
2014-06-19,1
2014-06-20,5
2014-06-23,4
2014-06-24,8
2014-06-25,1
2014-06-26,3
2014-06-28,1
2014-06-30,4
2014-07-01,1
2014-07-02,5
2014-07-03,3
2014-07-06,1
2014-07-07,2
2014-07-08,4
2014-07-09,1
2014-07-10,2
2014-07-11,3
2014-07-14,3
2014-07-15,1
2014-07-16,1
2014-07-17,4
2014-07-18,2
2014-07-21,3
2014-07-22,5
2014-07-24,1
2014-07-25,3
2014-07-28,3
2014-07-29,3
2014-07-30,5
2014-07-31,5
2014-08-01,3
2014-08-04,3
2014-08-05,4
2014-08-06,1
2014-08-07,3
2014-08-08,3
2014-08-10,1
2014-08-13,4
2014-08-14,4
2014-08-15,2
2014-08-18,2
2014-08-19,5
2014-08-20,5
2014-08-21,2
2014-08-22,4
2014-08-25,2
2014-08-26,2
2014-08-27,1
2014-08-28,2
2014-08-29,2
2014-09-01,1
2014-09-02,2
2014-09-03,1
2014-09-04,2
2014-09-05,4
2014-09-07,1
2014-09-08,5
2014-09-09,4
2014-09-10,3
2014-09-11,2
2014-09-12,5
2014-09-15,3
2014-09-16,6
2014-09-18,2
2014-09-19,2
2014-09-21,1
2014-09-22,4
2014-09-23,10
2014-09-24,6
2014-09-25,6
